date_summary,opening,closing,lowest,highest,volume,quantity,amount,avg_price
2013-06-12,249.00000000,265.00000000,249.00000000,275.00000000,2799.69077767,10.91696460,11,256.45322488
2013-06-13,265.00000000,269.00000000,259.00000000,269.00000000,2830.40672150,10.62472400,16,266.39814093
2013-06-14,267.00000000,250.00000000,245.00000000,268.00000000,8694.71056925,34.04032808,35,255.42381815
2013-06-15,250.00000000,246.01000000,246.01000000,259.99000000,4481.40561236,17.44593969,8,256.87384526
2013-06-16,246.01000000,252.00000000,246.01000000,257.43000000,427.69010200,1.66920000,14,256.22459980
2013-06-17,257.43000000,254.96000000,252.00000000,257.43000000,3628.95858704,14.25810910,12,254.51892404
2013-06-18,254.95000000,263.00000000,246.11000000,263.00000000,7498.58647006,29.20121264,22,256.79024232
2013-06-19,251.01000000,260.00000000,251.01000000,264.98000000,1137.08533469,4.32423041,18,262.95669446
2013-06-20,262.99999000,269.00000000,260.00002000,269.00000000,7253.13363567,27.11390588,28,267.50604165
2013-06-21,269.00000000,268.00000000,250.22000000,269.00000000,4652.79623484,17.82967328,25,260.95801976
2013-06-22,267.50000000,267.25000000,261.83300000,267.50000000,1451.69342948,5.42732878,9,267.47843890
2013-06-23,267.24900000,251.02000000,251.02000000,267.25000000,366.06726423,1.39470480,6,262.46935139
2013-06-24,251.02000000,267.25000000,250.01010000,267.25000000,10403.58800113,40.29917386,41,258.15884054
2013-06-25,258.00000000,268.39999999,250.03000000,268.89000000,5986.07380997,23.13572674,50,258.73722823
2013-06-26,252.50000000,264.83999999,252.50000000,265.00000000,6052.70505003,23.45941913,37,258.00745604
2013-06-27,262.38000000,259.00000000,253.02100000,262.38000000,9866.59889494,38.68624178,24,255.04154554
2013-06-28,258.00000000,255.00000000,246.58000000,258.00000000,7745.21876516,30.61904130,37,252.95431980
2013-06-29,250.00000000,230.00000000,221.01000000,255.00000000,8531.64349013,36.26595006,43,235.25217114
